Summary,Text,Score
Perfect home away from home,My friends and I were in Chicago for a weekend to hear some jazz at The Green Mill. Great club just a few blocks away from The Guesthouse.,5
Excellent Service,I've stayed here many times & the customer service & prices are always great. This is the only place I book when in Tricites. The rooms are clean but privacy is always respected. Flexible staff makes this a comfortable stay when on short notice.,5
Perfect stay at the Guesthouse,The rooms are amazing! We felt right at home.,5
Great stay! Would come back again,,3
"Fantastic place with huge, luxurious suites","I ""hosted"" my family and friends here for a family celebration and The Guesthouse Hotel delivered in every way. Rick and his crackerjack team took wonderful care of my guests, accommodating special requests like early check-in, a request for extra chairs.",5
Perfect for Living Like A Local in Chicago,"The Guesthouse Hotel in the northern neighborhood of Andersonville is super charming and offers all the comforts of home and then some. While it is some distance from the downtown Cloud Gate and other tourist attractions, it is nestled in a beautiful, very walk-able neighborhood with good shopping and awesome eats. It is actually not far at all from public transportation, though, if you want to explore other Chicago neighborhoods. I cannot say enough about the cleanliness or amenities. The suite's kitchen was fully stocked with wines glasses, Pyrex dishes and even a blender -I could have cooked a whole meal, served it, and then some! I had booked a one-bedroom suite and without even informing me, they gave me a two-bedroom suite which wad amazing. There were also two bathrooms which were spotless and stocked with delicious-smelling soaps and shampoos. I also appreciate that they left extra TP under the sink in both. I deeply appreciate the hotel policy to only clean upon request, as my husband and I were only there for two nights, so it would have been wasteful, and we usually don't like the invasion into our privacy anyway while travelling. The views off the terrace were not great, as we faced the back of the hotel, but it was fine. I had no plans to stare out the window all day. Check-in and check-out were fabulously smooth, quick and easy. Staff were super helpful, even though I had little occasion to interact with them as everything is really provided for at The Guesthouse Hotel. My only regret is that I didn't have my dog with me. as the hotel is sweet and dog friendly. I also would have liked to hang out in the very groovy and chill hotel library which was stocked with books. Also, even though it was February, the hotel did not have their lobby fireplaces going which was a bit of a bummer but I did not hang out in those spaces long so I can't complain... I truly loved this place and will be back.",5
No Hot Water 🥶🚿,The location was great for what I needed. The $25 reserved garage parking was worth it. The room was as expected but there was never more than 5-10 minutes of hot water in the master bathroom; which meant I had to take 2 freezing cold showers during my stay. The first time I called down to the front desk and someone came up and verified the hot water heater was on. The second time I mentioned it at checkout and yet there was still no offer to make it right. I could probably understand if I had paid $40 a night but after paying almost $400 for one night; I left very dissatisfied and I won’t be staying there again. It was a very disappointing experience because I had such high hopes when I booked it.,1
Thanksgiving gathering location to meet new grand-daughter,"This was our second opportunity to be blessed with being able to stay at the Guesthouse Hotel in Chicago/Andersonville. Rick and the entire staff were nothing short of professional during our entire 10 day stay. They offered and brought up extra tables and chairs to accommodate our holiday family meal. They also brought up a lovely full size collapsable rolling baby crib which we liked so much we ordered one from the company and had it shipped to our home in Colorado. The location is ideal for easy walk to and through Andersonville to enjoy many of the wonderful shops, restaurants and coffee shops. Covered private parking was so appreciated especially during the blustery weather we had while there, Our apartment style residence was modern style, with very generous bright lighting. Beds and furnishings were very comfortable. The kitchen was more than adequate to prepare our Thanksgiving meal. This place meets all of our needs while in the Chicago area. Two time staying for a total of 15 nights has certainly had The Guesthouse Hotel earn our ""home away from home"" feel.",5
Highly Recommend!,This hotel has big modern apartment style rooms. The staff is very friendly and helpful. It is located in a fun and safe local neighborhood just off the beaten path and close to great restaurants and bars.And all for a very reasonable price. I highly recommend this property!,5
Lovely Visit at a Wonderful Hotel near Andersonville,"Rick and his staff at the Guesthouse could not have been more accommodating while we were there for 4 nights in Oct. Loved the spacious unit, the great location, the well-equipped kitchen, the easy parking, the privacy. A quiet retreat from an exciting city, and a true home away from home. Awesome place in every way, and we will be back, whenever we can!!!",5
A gem,"What an unexpected treat in the delightful Andersonville neighborhood of Chicago. Friendly, helpful, fun staff. Comfortable, spacious rooms replete with a fully functional kitchen, in-room laundry (full size washer and dryer), luxurious beds, and bathrooms with high-quality products. There are wonderful restaurants and shops in the ‘hood as well as a delightful “Magic Lounge” down the street where we caught the hilariously arch performance of Lucy Darling (a highlight of our time. In Chicago!). While we paid around $15 per Lyft ride (including tip) to get downtown- the pleasure of this property and the neighborhood well made up for that expense.",5
Home Away From Home,"If you're looking for a place that feels more like a condo than a hotel, The Guesthouse Hotel is the spot for you. My husband and I stayed 5 nights and couldn't have been more comfortable. Plenty of space to store clothes so you're not living out of a suitcase. A kitchen stocked with all the essentials to make coffee, prepare meals, and reheat that leftover Chicago pizza. Having a washer and dryer made it possible to pack light. The staff was top-notch! Anything we needed, they were able to assist with. If you're looking for a place to truly experience Chicago neighborhoods, stay here instead of downtown.",5
Luxury and Privacy...,This place is amazing. Beautiful apartment with luxury finishes throughout. The staff are the most welcoming and attentive people I have ever had the pleasure of meeting. This was our first of many visits. LOVE everything!! Close to amazing restaurants and attractions. The Andersonville neighborhood is so much fun.,5
More short term apartment than hotel,"I stayed for one night on a business trip. The place is clean and spacious. But it lacks basic hotel amenities. There is no food service on the premises, including at breakfast, where minimum breakfast items could have been offered. I took a 5 minute Uber ride to and from a nearby Starbucks for breakfast. This is more short term apartment than hotel. I also was surprised not to see a room safe in what I believe is a relatively new hotel.",3
Fantástico lugar ideal para vacaciones en grupo. Muy bien equipado con lo necesario y ubicado. . Calidad y comodidad,,3
Northside Gem,"My partner and I stayed here in October 2017 while some repairs were being done at our house in Chicago, and I put my mother and aunt up here in May 2019 when they visited us. The Guesthouse was terrific on all occasions. It's a quiet, comfortable base for exploring Chicago's Northside, within very short walking distance of dozens of restaurants and shops on Clark St. in Andersonville, and a slightly longer walk to Lincoln Square/Ravenswood and Uptown hot spots. If you're here for a Cubs game and don't mind a walk of a little over 1.5 miles, you can easily do that from The Guesthouse and be removed from all the Wrigley craziness after the game.",5
The Guesthouse Hotel Chicago... Home away from home,Wow we were so impressed with The Guesthouse Hotel. From the moment we arrived until the moment we left everything was PERFECT. We were very comfortable. I drive a large SUV and they even reserved an individual garage to accommodate it. We loved it so much we are already planning another trip.,5
Market Days Fun!,"This spot was great! Stayed in a 2 bedroom apt and it felt like you were staying at someone's condo! So spacious, nice grill outside, cute patio, a small grassy area, and super clean! Also loved the products in the bathroom. Only thing I would say is to improve slightly on the water pressure in the shower. We stayed on the first floor all the way in the back, I think 115. Oh, and Adam at Reception was super chill and accommodating! I would definitely recommend!",5
Great Spot for a Group,"We had a medium sized family reunion at the Guest House and everything was absolutely perfect! Planning was easy working with Rick, and the property is beautiful We had great weather and enjoyed the rooftops often. The space is great, well appointed and in perfect repair. Enjoyed the location as well. We are avid bikers and rode the Lake Shore Path almost each day. Parked over a dozen bikes in a garage there. Some local favorites were Agami Sushi, Lady Greory's M Henri for dining. Enjoyed many pubs in Andersonville and Lincoln Square as well.",5
A beautiful find,"The Guesthouse Hotel is in a great location, outside of the central city but close to the El and in a wonderful neighborhood. We booked a 1 room and got a 3 room beautiful condo. The condo was first-rate and I wish we could have stayed for a month.",5
Almost better than home,"We stayed at the Guesthouse to attend our son's graduation at Northwestern in June. I am a difficult traveler, unfortunately, and rarely do I stay at an accomodation that is picture perfect. There are either issues with bed comfort, ammenities, hotel desk, noise, etc etc. But this WAS about as perfect as I could have ever expected. Not only did I feel like I was at a welcoming home, it seemed that no amount of planning was left out of the equation when the place was designed. A fully equipped kitchen, ultra clean silverware and other amenities, cozy living room with patio and grill, super clean bathrooms, very little noise infiltration from outside or next door in the rear bedroom and most of the place (though a bit more street noise on the Clarke Street bedroom side), and a really hip, friendly staff with a cozy lobby and library. Btw, I even noticed posts under each bed to keep them level (you now how sometimes beds tilt like see saws in a hotel?). The beds were just firm enough and provide nice rest after long days in town. (One very minor detail: There seem to be two wi-fi addresses and one is slow, but that's no big deal). So yes, I'd recommend this establishment in a heart beat - especially for hard-to - please travelers who demand perfection. )",5
"12/10 recommend! This hotel was gorgeous and made me want to move to Chicago! The staff was super sweet and they had so many activities for kiddos, too! The local treats were such a cute addition, too! Go up to the rooftop and fall even more in love!!",,3
Exceeded expectations- superb,"Stayed here for 3 nights in a 2 bed apartment. Perfect for exploring the historical Uptown and Andersonville areas. Everything we could possibly want was supplied even a huge washer and dryer. Wonderfully clean and light and airy. Already planning another visit this time for a week. Transport to City is easy but so much to see in the area, with Hopleaf being our favourite bar and restaurant. Thank you to the owners and Manager Rick. You made us fall in love with Chicago.",5
Beyond perfect,"This is an absolutely wonderful hotel with the feel of a home. My “room”, more like an apartment, was clean, bright, spacious, well appointed, and even more. The staff made me feel like a valued visitor. If you are in this part of Chicago you will be happy you stayed at The Guesthouse Hotel.",5
One-of-a-kind,"The usual hotel experience is using it as a launch pad to other experiences...a place where you sleep and then leave. Not at the Guesthouse. The accommodations are so comfortable and expansive compared to a hotel room, that we found ourselves spending hours there visiting, watching movies, reading, etc. The front desk staff was gracious yet relaxed. Nothing stuffy here, just friendly, solicitous and eager to help. The lobby and common area is beautiful AND comfortable and has an assortment of localized gifts and refreshments. Nothing is lacking. We walked into Andersonville everyday to enjoy its personality and amenities. A perfect trip thanks to our time at the Guesthouse. Looking forward already to our next visit.",5
Spectacular!,"If you're looking for ambiance, service, amenities, cleanliness, location, and value rolled up in appealing design, it's here! I arrived around midnight to a friendly staff, available sparkling water (my fav) and a jaw dropping room. The linens crisp, bed comfortable, modern bath, impressive kitchen, balcony, view and on I could go. You won't be sorry, only impressed and ready to find any reason at all to return.",5
Sooooo good!,"So much nicer than most hotels - the apartment was massive, proper kitchen, proper lounge, proper bathroom- it felt like I was at home. So clean that I assumed the hotel was brand new but now I see almost 400 other reviews! Lots of cafes nearby serving breakfasts that are way better than most hotel breakfasts. For me, it was a win!",5
It was like living coming home,"This hotel was like coming home to our condo. It had a full kitchen and garage. There was a grill and table/chair on the balcony. It was too cold to use any of that this trip. The kitchen was equipped with the basics if you wanted to cook. The place was really clean and smelled nice. The dog loved it too. The bathroom was down the hall from kitchen and living room which was nice for privacy. The kitchen counter had 4 or 5 stools that you could use to work or entertain at. It was close enough to walk to downtown Andersonville if the weather wasn't bad. This was such a nice hotel, it really felt like I lived there. I would recommend this hotel to anyone that has kitchen needs or just wants time in a condo. I will be back to try out the weber grill. :) Bonus - a full size coffee maker and not a Krupp.",5
Our stay could not have been better,"What a lovely hotel! We stayed here mostly because we were catching a show at the Aragon Ballroom and it was walkable from this location. Totally made the right choice because The Guesthouse exceeded all expectations. The lobby is beautiful, yet also inviting and comfortable. The staff were awesome and the room fantastic. We weren't able to make use of the full kitchen other than to make coffee in the morning but if we'd stayed longer we'd have put it to good use. The balcony was an unexpected surprise and the bed was so very comfortable. The staff clearly care about the quality of your stay and offered helpful suggestions on where to eat and activities nearby to do. The neighborhood around the hotel is very walkable with restaurants and shops aplenty. We would certainly stay here again when visiting the Chicago area.",5
Just What We Needed,"I live near The Guesthouse Hotel and thought it would be great for a reunion gathering. I was right! The 3 of us shared a 3-bedroom, 2 bath apartment. The master bedroom had a wonderful steam shower, and the fully equipped kitchen was supplied with paper towels, dishwashing detergent, coffee, and tea (and a tea kettle in addition to the coffemaker). Parking was in garages with a remote overhead-door controller and much cheaper than downtown parking. Best of all was the gas fireplace; we spent a lot of time sitting in front of it and reminiscing. The staff was cordial and kind, always available for questions and quick at sending up supplies if we ran out. The Guesthouse is in easy walking distance of all kinds of restaurants, entertainment. and unique shops, some within a block or 2. If you need to be downtown and aren’t comfortable taking taking the great public transportation or driving the 8 miles or so to get there, this probably isn’t for you. But if you want a spacious, clean, comfortable accommodation in a great city neighborhood, this is it!",5
What a great place!!!!,"Stayed here 1 night, called to see if we could check in early, very accommodating and they made it happen.",5
Polar Vortex? Not a problem at the Guesthouse Hotel!,"Apt. 210 was cozy and warm with its fireplace and bright western windows. The building is a gem, super well-constructed, and all kept so clean you'd think no one had stayed there before you. Even the baseboards are clean. High ceilings lift your spirits in the dead of winter.",5
"Beautiful, homey, cozy and spacious","I recently stayed in one of the 2 Bedroom Deluxe Suites while I was recovering from foot surgery, and I cannot recommend it enough. The amenities and service here have been a godsend during recovery. The suite is so spacious that I had no problem maneuvering around the kitchen, bathrooms and bedrooms with a knee scooter/crutches. I was able to cook/prepare meals in the fully equipped kitchen with ease. The staff are incredible - friendly, attentive and willing to assist with anything at the drop of a hat. And, to top it all off, the cleanliness is impeccable. Congratulations to the housekeeping staff here - they are doing a stellar job.",5
Amazing Find,"One word... Awesome! It was definitely a home away from home. Check-in was quick and easy. The front desk staff was polite and took the time to explain the facility to us and get us checked in and parked. Andersonville is a great neighborhood and definitely needs more exploring. The guidebook provided many opportunities to look at. The room was perfect. These are suites, so you get a full kitchen... Take advantage of it. It definitely smelled like our neighbors on the 2nd floor were. Amazing smells the last couple of nights. The rooms are comfortable, the furnishing are nice and the rooms are well stocked and prepared. I will definitely be back.",5
"I recently had to come to town on an emergency to help my daughter with an unexpected surgery. I flew in from Montana... and desperately wanted to provide her with a comfortable space for a few days to relax and recoup...I am SO happy I found The Guesthouse Hotel... perfect!! in room laundry, clean and comfortable! Thank you so much to the staff for being so kind and accommodating. I HIGHLY recommend!",,3
Safe and sound.... truly a GUEST house!,"I recently had to come to town on an emergency to help my daughter with an unexpected surgery. I flew in from Montana... and desperately wanted to provide her with a comfortable space for a few days to relax and recoup...I am SO happy I found The Guesthouse Hotel... perfect!! in room laundry, clean and comfortable! Thank you so much to the staff for being so kind and accommodating. I HIGHLY recommend!",5
Home away from home,"What a wonderful experience. Checked into my beautiful, spacious suite. Full kitchen, laundry, 2 bathrooms and 2 bedrooms.",5
"Brilliant, all around!","We live down the street from this hotel and have stayed on numerous occasions while our home has been rehabbed. We cannot say enough great things about this hotel. The rooms are huge, clean, modern, gorgeous. All the details have been taken care of (e.g. recommendations on grocery stores to stock the fridge, cleaning supplies, robes, extra blankets, etc.). The staff is super helpful and very professional, as well as just plain nice! You can buy wine at the front desk as well as candies and other treats. The lobby is beautiful and inviting - there is a wonderful Chicago flair all over the hotel. My only regret in writing this review is the prices will go up when this hotel becomes super popular! All around, FANTASTIC stay!!",5
My home away from home,"I stay here whenever I visit my daughter.It ‘s quiet, comfortable, great beds, spacious rooms, and fairly priced. I love it. Andersonville is just a few blocks away with lots of boutique shopping and restaurants.",5
This place is gorgeous! It's more like a small apartment than a hotel. Very roomy with a fully equipped kitchen. Private parking and laundry. It's better than I expected. Very clean and the staff is friendly and welcoming. Highly recommend!,,3
Just okay,"The place is conveniently located. We liked the fact that we could get an apartment style room, with a living room and two bedrooms. The staff are not unfriendly per se, just seemed uninterested or indifferent. They never bothered to tell us that it was tricky to find their parking lot. I would think that when they are dealing with guests coming from out of town, they would take the time to explain a thing or two. We had to call a couple times to ask where to park. Then after figuring out where the lot was (behind the hotel, need to use a different street to get there) we couldn’t figure out how to ENTER the place from the lot!! We called 3 times, it was like pulling teeth. The guy just couldn’t be bothered to EXPLAIN. I don’t know what we would have done before the cell phones were invented!? It was raining, and no one offered to help with anything. We didn’t expect a concierge or bellman, but they should really train the front desk staff to pay more attention to the customers.. to put themselves in the guests’ shoes. What would you do if you had never been there? What if you were from out of town or out of state? That kind of thing. Enough said.",2
"Our stay was so enjoyable. Accommodations were spotlessly clean and spacious. Front desk staff (especially Adam) were friendly, welcoming and helpful. Dog friendly. Provided dog bowls in the room for your pup and water & treats in the lobby. Definitely would stay here again.",,3
"Everything about this place is just Cool!! The History the Location, Our room was So Nice and Masterfully updated it’s better than some New hotels! One of the most awesome things is the View! At night it’s AMAZING! Almost a 360* view with the entire downtown skyline from the Rooftop Cafe. Warning; There Is a Cemetery across the street but I think it only Adds More Character and Excitement to the appeal. Mid 19th Century and Civil War history buffs will find A Lot to check out. The Amenities are Top Notch, they even had treats for my Dog At check-in! This place IS the REAL DEAL!! FIVE STARS!!!",,3
"Amazing experience!! Beautiful condos, heated garage parking, friendly staff. AND it’s dog friendly with cute accommodations for your dog!! This was my first time here but it will not be my last!! 🙌🏼",,3
best place to stay in Chicago!,"I've been to Chicago and stayed downtown before on the Magnificent Mile. This is the place to say- the prices are the same, but you have 600 square feet instead of 200 square feet.What a great value! Their slogan says it all- live like a local. The kitchen was beautiful and well appointed. The staff was so fantastic and friendly - you can tell they love Andersonville. It was within walking distance of many shops and restaurants, and markets to stock the kitchen. It was a quiet stay too which we appreciated.",5
Great For Family Events,"Our daughter married a wonderful gentlemen in Chicago. Both our family and the groom’s family stayed at the Guesthouse Hotel for a long weekend of wedding events and family activities. There aren’t enough superlatives to describe our experience at this wonderful boutique hotel From the spacious, clean and well-stocked accommodations to the excellent, friendly staff to the best general manager we ever met, Rick Verkler, we have gathered so many special memories. On top of all that we hosted a Vietnamese Tea Ceremony that Rick helped to bring to a success. My wife and I highly recommend the Guesthouse and would give it more than five stars if we could. As soon as we receive photos from the photographers we will post them.",5
Wonderful stay in Chicago,"The Guesthouse was everything they advertised and more. We would the accommodations extremely clean and amenities plentiful. The location was ideal for both exploring the local fare, shopping, and fast access to other parts of Chicago.",5
Lovely hotel,"We stayed here for our honeymoon in Chicago. It’s an absolutely beautiful hotel, and the staff really look after you. It’s in Andersonville, which is about 20 minutes from downtown Chicago - we loved that we saw parts of the city we probably wouldn’t have if we’d stayed in the more touristy areas. Lots of lovely little restaurants and bars nearby too. Recommend if you want to experience something outside the tourist norm. Thanks for having us guys!",5
"It’s perfect—like having your own condo. With a well equipped kitchen, eating in is a real option. Friendly staff.",,3
Wedding Weekend!!,Outstanding!! Hosted a portion of the guests and held the rehearsal dinner at The Guesthouse last weekend. What a fantastic time we all had - Rick and his team were accommodating and attentive to so many of the details. We have stayed at the Guesthouse in the past and loved it - now that we have also held an event there we love it even more. Others in our party offered compliments too and on a scale of 1- 10 we rate Rick and his team an 11!!! Can’t wait to go back.,5
"Beautiful rooms very spacious great location and price! Clean comfortable, within walking distance of shops ,boutiques.",,3
Incredible place !!!,What a nice hotel in AndersonVille,5
Like staying at home,Incredibly well run and maintained property with supporting staff that are friendly and helpful. The rooms are like living in your own home with no feeling of staying in a hotel. The location was perfect with a wide range of diversity and options.,5
"Excellent ""Boutique Hotel"" choice for groups/families","Spent a long weekend in town with reunion group of friends from college. Great amenities, easy walk to the Red Line train. Quiet, clean. Perfect for families and small groups. Fantastic views from Rooftop patio. Will stay here with the wife and kids next time we come to Chicago.",5
Group trip,"I was in town for a Cubs game and concert with friends. The hotel was amazing. We had 4 rooms for the 12 of us. Very spacious and plenty of room. Would not have been able to been as comfortable in a traditional hotel. All of our rooms had full kitchens, patios with grills and plenty of seating. This allowed us to congregate in 1 room for meals and hanging out. the staff was friendly, engaging and very responsive. An added benefit was the private garage parking. Location was perfect. Able to walk to coffee shops, 24 hour restaurants and night life. Will definitely be back.",5
Great place Great staff,"Great place makes you fell like your at home. Comfortable, beautiful and located close to everything. We checked in on a Friday night and the young man at the desk Jeremias I believe was his name was welcoming, friendly & extremely helpful. Beautiful lobby & common area. Recommend this place and staff for a at home stay away from home.",5
Lovely hotel with great facilities and very friendly staff,This is a little gem in a very pleasant area of Chicago. Don’t be put off as it is in suburbs as there is an L Train stop nearby and you can quickly and cheaply travel right into the city centre. You are also within walking distance of Wrigley Field.,5
Great place to stay,"The Guesthouse is a great place to stay in Chicago without being downtown. Close to Andersonville and Wrigley field. Rooms are small apartments, well equipped with kitchen beds and baths. Some have balconies and/or fireplaces. Nice touches throughout.",5
"Great stay, but cheap add ons after leaving","We were visiting Northwestern with my daughter, but could not find a hotel in Evanston. The guesthouse looked nice so we decided to try it. We arrived by taxi from the airport about midnight. The driver was lost and brought us though a dark alley. I was scared to get out, but when we saw the room I was amazed. It was fantastic. We had a two bed room and was very large with hardwood floors excellent bedding, and much nicer than the online pictures even suggests. In the light of day the area is fantastic. Lots of neat restaurants. Easy to jump on the ""L"" to go to Evanston or Chicago. There was evan a washer/dryer in the room.",4
Living like a local,"We are from Michigan and visit friends in Chicago many times per year, there is no place we would ever stay! The location cannot be beat, the apartment/condo style rooms make you feel like you never left home!",5
Outstanding!,What a great place to stay. It really feels like your own apartment. We stayed here as a family in a 3 bedroom suite and used Lyft to visit the city. It was a convenient and affordable drive and nice to get away from the crowds in the evening. Using lyft is less expensive than a rental and high parking rates in the city. We ordered our groceries and Peapod delivered them. The staff was amazing and put them upstairs for us. We arrived before check in and they held our luggage so we could get another day of touring in. We loved the washer and dryer so we could pack light. Amenities are all you need. The steam shower is amazing! Everything is as nice as the web page - we would stay here again!,5
Beyond Expectations!!!!,"This place was absolutely incredible!! Beautifully decorated, fantastic beds and so much room!! We had the 2 bedroom suite and loved the deluxe shower with multiple heads and steamer. We had a garage with opener, BBQ pit on the patio, washer and dryer- simply every amenity you can think of!!",5
"My husband, myself, and our two dogs stayed here for 3 nights while our condo was under construction. The Guesthouse is your home away from home. This boutique hotel is magnificent. Each suite is the size of a large condo and comes fully stocked with a full kitchen, washer dryer, grill, and anything you need to cook or bake. The staff is also extremely welcoming and very helpful. If your thinking about visiting Chicago and want to stay walking distance from Andersonville and Wrigley Field this is the place. We’re happy to be back in our home but in the event we need a pet friendly hotel this is our #1 choice.",,5
"As former Chicagoans, we normally stay in some of the boutique hotels downtown when we return as visitors. A friend reccomended we try The Guesthouse and we are really glad we did. Great location for visiting all the Northside locations. The hotel itself was perfect for us, we had the 2 bedroom suite and wish we had time to sty longer. Our new favorite place.",,5
This hotel is the best find. The 2 bedroom units have to be 1000 sq foot with 13’ ceilings. Really nice. We are coming back. And so close to Andersonville!!,,5
Heavenly Comfort,"My sister-in-law, twelve-year-old niece, and I went to Chicago to see Hamilton and do some sight-seeing. I wanted a hotel with space and two bathrooms, a must have for three women! We really hit the jackpot with the Guesthouse! From the minute we walked through the door, I knew we're made the right choice. The lobby is comfortable and classy and the person behind the front desk was so welcoming. The two bedroom, two bath suite we stayed in was amazing. They really thought of everything for guests from the fully equipped kitchen, to the make up mirrors, jewelry dishe on the night stand, super comfortable beds, and fluffy towels. Easy walking distance to the grocery store made it convenient to have fresh fruit and bagels and snacks in the room, so we didn't need to rush out in the mornings. Everyone we met at the hotel was friendly and knowledgeable about the area and Chicago, especially Rick! It was so nice to have a true home away from home to relax in and plan our adventures for each day. I can't imagine how crammed we would have been if we had chosen a hotel in downtown Chicago, and we're would have been miserable with just one bathroom. I can't say enough about this gem. If you are planning a trip to Chicagoland, look no further for a truly exceptional place to stay. I highly recommend The Guesthouse and can't wait to go back with my husband!",5
"Comfortable, convienent",Stayed here for 4 days on a business trip.,5
Great Room,"The room was fantastic. I want to retire to an apartment or townhouse just like the 3 bedroom deluxe we rented. Hotel was clean, employees were friendly and helpful.",5
Relaxing weekend in Chicago,"I live in the Chicago suburbs. My wife and I decided to spend the weekend near downtown so we stayed 2 nights at the Guesthouse. This was our second stay. The unit was two bedrooms, two baths...plenty of space and very clean. Would definitely come back as well as recommend the Guesthouse. Glenn",5
Hidden Gem!,"Like staying in the lovely vintage-but-updated condos you see on HGTV---cozy, warm, quiet, professional, accommodating and spotless! If you know the city, feel free to stay here even though it's technically not downtown. And if you don't? Know that it's a quick & under $20 Lyft/taxi anywhere if you're not into public transport (also plentiful)! Darling lobby too!",5
Home away from home.,"We had a wonderful experience. We had groceries delivered by Peapod which the staff had put away prior to our arrival. The place was very clean and was spacious enough for me, my husband and my mother. The elevator broke one day so my elderly mother had to go up four flights of stairs one day which was pretty tough on her. When we came back that evening the staff gave us a complimentary bottle of wine for the inconvenience. I would highly recommend the GuestHouse to everyone and we will for sure be back when we visit Chicago again",5
"An exceptional place to stay - we spent our last two nights as Chicagoans here after hearing rave reviews from my dad and brother, who stayed here when they came to visit us a few months ago. It could not have been more perfect for our needs. I will definitely look into staying here when we return to visit from our new home in Michigan!",,5
Fantastic apartment hotel,"Our family stayed in one of the 3 bedroom apartments. We were looking for someplace convenient and with enough sleeping space. For the slightly higher cost than a traditional hotel room, this was amazing. The apartment had all of the amenities like a standard hotel and all of the upgrades (appliances, flooring, granite countertops, etc). We were very comfortable. The staff was very kind and knowledgeable about the area. They also have a good selection or snack and beer/wine for purchase in the lobby if you haven’t gotten to a store yet. There were a lot of restaurants within walking distance. The train and buses were very close as well. We were able to walk to the train and take that and the buses to the museum park area for the planetarium and aquarium. Our trip was fantastic and we will definitely stay here again when we come to Chicago. We highly recommend this hotel.",5
